Frame,Marker ID,2D Coordinates,Distance,Yaw,Pitch,Roll
80,813,"(1280.0,401.0),(1281.0,837.0),(850.0,842.0),(844.0,409.0)",0.002293571881234301,3.093052834531919,-4.355091234667628,89.86858
85,813,"(1332.0,408.0),(1328.0,840.0),(892.0,836.0),(889.0,408.0)",0.0023147155597584494,4.474574115973702,-4.394648442199573,90.530495
86,813,"(1331.0,398.0),(1330.0,831.0),(892.0,827.0),(892.0,399.0)",0.0023094626369287645,4.5042328299752805,-3.9064944000211015,90.13232
87,813,"(1333.0,384.0),(1331.0,822.0),(894.0,819.0),(895.0,387.0)",0.002283081161835255,4.563542986474791,-3.3384705437643523,90.26162
88,813,"(1341.0,383.0),(1333.0,817.0),(894.0,813.0),(894.0,381.0)",0.00230375608982399,4.63025519316432,-3.10049144980778,91.05602
89,813,"(1340.0,384.0),(1328.0,824.0),(895.0,819.0),(897.0,381.0)",0.0022718825210435822,4.615431339223981,-3.28559597565302,91.56222
90,813,"(1338.0,391.0),(1329.0,830.0),(893.0,827.0),(894.0,390.0)",0.0022774257332844505,4.570956069583623,-3.6820125135784787,91.17446
93,813,"(1333.0,401.0),(1327.0,832.0),(892.0,830.0),(891.0,400.0)",0.0023199608959716166,4.489403774329276,-4.012091808372771,90.79757
95,813,"(1335.0,388.0),(1328.0,822.0),(894.0,819.0),(892.0,387.0)",0.0023038477660593335,4.533889125339852,-3.3913394197963505,90.92404
96,427,"(891.0,383.0),(1317.0,363.0),(1328.0,813.0),(893.0,812.0)",0.0023448350085698683,4.385583618188816,-2.796252250100287,-2.6879687
98,813,"(1344.0,348.0),(1329.0,782.0),(891.0,779.0),(893.0,345.0)",0.0023027725682498905,4.593194397795245,-1.2465170181742917,91.97948
99,427,"(890.0,339.0),(1319.0,313.0),(1331.0,773.0),(891.0,772.0)",0.0023267330177531263,4.400416851829061,-0.4907157424447484,-3.468229
100,813,"(1339.0,324.0),(1330.0,759.0),(890.0,756.0),(892.0,320.0)",0.0022983587860950978,4.548716361160261,0.013262911687432759,91.18526
101,813,"(1342.0,308.0),(1330.0,748.0),(889.0,746.0),(889.0,308.0)",0.0022718825210435822,4.541302819441531,0.6631159871135853,91.56222
102,813,"(1343.0,304.0),(1328.0,743.0),(887.0,740.0),(887.0,301.0)",0.0022765757460617595,4.5042328299752805,0.9548412538721887,91.95695
103,813,"(1341.0,293.0),(1326.0,732.0),(886.0,730.0),(886.0,290.0)",0.0022765757460617595,4.459743856858846,1.5248747415002135,91.95695
104,427,"(881.0,273.0),(1316.0,249.0),(1325.0,714.0),(884.0,717.0)",0.0022953597280088384,4.214959585268765,2.7433244882631134,-3.1579447
